GENDER,REFERRING_PROVIDER_REGION,DISEASE_CODE,RECEIVING_PROVIDER_REGION,AGE_GROUP,TOTAL_REFERRALS
M,Riyadh,R56.8,Riyadh,40-49,30
M,Jeddah,K52.9,Jeddah,00-17,21
M,Jeddah,I10,Jeddah,40-49,20
F,Qassim,R06.0,Qassim,60-69,3
M,Jeddah,R07.4,Makkah,50-59,2
M,Jeddah,A78,Makkah,70-79,1
F,Makkah,R07.4,Makkah,50-59,6
F,Medinah,O00.0,Medina,40-49,36
M,Najran,J21.9,Najran,00-17,18
F,Medinah,J03.9,Medina,00-17,12
F,Asir,I64,Assir,70-79,35
M,Medinah,I64,Riyadh,60-69,32
F,Riyadh,Z50.9,Riyadh,18-29,18
F,Jeddah,E88.0,Jeddah,18-29,20
F,Asir,T20.0,Assir,00-17,6
M,Riyadh,J06.9,Riyadh,00-17,63
F,Medinah,O61.9,Medina,30-39,25
M,Riyadh,E13.11,Riyadh,00-17,33
F,Medinah,E11.11,Medina,50-59,6
F,Jeddah,O00.0,Jeddah,40-49,151
M,Asir,I24.9,Assir,80+,13
M,Makkah,S72.11,Makkah,50-59,6
F,Jeddah,G46.4,Makkah,30-39,1
M,Riyadh,E11.11,Riyadh,60-69,342
F,Asir,P07.32,Assir,18-29,13
M,Jeddah,A41.9,Makkah,80+,6
M,Jeddah,R57.2,Makkah,60-69,5
M,Riyadh,D57.1,Riyadh,00-17,32
F,Jeddah,D59.0,Makkah,00-17,1
M,Jeddah,O09.9,Jeddah,00-17,19
F,Riyadh,R05,Riyadh,50-59,66
F,Jeddah,I21.9,Jeddah,60-69,23
F,Qassim,J15.9,Qassim,70-79,4
F,Jeddah,P22.0,Jeddah,18-29,43
F,Asir,J21.0,Assir,00-17,12
M,Outside-KSA,P07.31,Jeddah,00-17,19
F,Jeddah,O09.9,Jeddah,40-49,38
F,Jeddah,I61.8,Jeddah,60-69,20
F,Asir,P74.22,Assir,30-39,6
M,Riyadh,N18.9,Riyadh,60-69,91
M,Jeddah,K92.2,Makkah,60-69,1
M,Jeddah,E11.73,Jeddah,50-59,20
F,Jeddah,J90,Makkah,60-69,1
M,Asir,A41.9,Assir,50-59,6
F,Makkah,M01.57,Makkah,18-29,6
M,Jeddah,E10.11,Jeddah,18-29,192
F,Jeddah,I51.9,Makkah,80+,2
M,Jeddah,J18.0,Makkah,60-69,1
F,Jouf,S72.05,Riyadh,70-79,30
M,Jazan,T21.04,Assir,00-17,6
F,Medinah,U80.4,Medina,00-17,6
M,Jeddah,N18.9,Makkah,70-79,1
M,Jeddah,D41.1,Jeddah,00-17,20
